words,stats,stats2
blend,354.91438941076,356.8898377455167
nymph,869.9419299743809,871.9265584970111
rehob,300.2572587532024,302.3731853116994
trees,397.2745516652434,252.517292912041
snout,311.8136208368916,313.7860802732707
cocks,786.6735695986337,740.6468830059778
symes,513.4124679760888,460.1784799316823
wrung,693.6347139197268,695.947267292912
savoy,320.8136208368916,322.79205807002563
edwin,474.8208795900939,476.8005977796755
byron,530.1603330486763,532.418659265585
meate,491.55913748932534,326.5377882152007
mince,327.399658411614,329.37233134073443
visor,309.701537147737,311.80486763450045
iumpe,406.1742100768574,408.15286080273273
froid,422.76216908625105,424.97053800170795
bossy,1371.3887702818104,844.1658838599487
whats,326.9511101622545,328.9218616567037
paved,344.3460717335611,346.32408198121266
quick,1089.5992741246798,1091.5879590093937
wreak,317.68808710503845,319.6671648163962
pomps,712.2920580700256,683.9562339880445
tally,725.7346285226303,600.9931682322801
caska,933.6498719043552,667.1524338172502
guift,778.7139197267293,780.6921434671222
stirs,413.2359094790777,371.03864218616565
david,746.6987617421007,689.8757472245944
broom,1094.331340734415,909.1411187019642
sects,405.4634927412468,366.5450469684031
sylla,620.6936379163109,513.3300597779676
shine,177.57130657557644,179.5397096498719
pence,855.7914175918019,578.448121263877
humid,579.0582835183603,581.034585824082
slunk,411.1861656703672,413.16396242527753
stern,176.75298889837745,178.73099914602903
islip,930.8558923996584,725.0350128095645
adria,752.8138343296328,435.317463706234
parts,194.49786507258753,196.47822374039282
trail,196.1436806148591,198.20239111870197
nasce,160.88620836891545,162.85695986336464
wiser,205.9128949615713,207.94235695986336
deckt,434.064901793339,436.0452604611443
weeks,962.9037147736977,590.2429547395388
perga,277.4799316823228,279.4566609735269
criss,543.1238257899231,437.250853970965
eider,652.1605465414176,393.88385994876177
limbs,359.1797608881298,361.15627668659266
stuck,574.1253202391118,576.104611443211
rebel,607.0322374039283,435.06532877882154
wound,624.4545260461144,626.434244235696
arise,110.20495303159693,112.17228864218616
astir,192.87702818104185,194.91631084543127
fifth,969.4116140051239,955.6413321947053
promo,1152.0004269854826,924.2862937660119
lydda,932.4165243381725,800.117634500427
quire,349.9833475661828,352.1221178479932
desir,170.7181895815542,172.75064047822374
shoue,202.54440649017934,204.51579846285227
roofe,537.1449615713066,486.57045260461143
flirt,385.4084116140051,387.584756618275
curds,327.26494449188726,329.2408198121264
sedge,575.4423569598633,422.58326216908625
nabal,796.1372758326216,610.8533304867634
cable,244.76259607173355,246.73228010247652
tapor,255.1769854824936,257.2299316823228
dayly,634.1398377455166,621.2203245089667
baite,181.0922288642186,183.06276686592656
tardy,307.93872758326216,309.9788642186166
cozen,412.63215200683175,414.61101622544834
comes,219.14474807856533,221.11614005123826
ombay,569.3699829205807,571.3505550811273
segub,349.02070879590093,350.99786507258756
bebai,389.73057216054656,381.8189581554227
curse,222.88300597779676,224.85204953031598
payed,306.93189581554225,308.9073441502989
bride,264.5888129803587,266.66780529462
rayed,220.07322801024765,222.06255337318532
sooty,679.801878736123,606.4978650725875
kinde,353.45964987190433,355.4355251921435
malay,974.6633219470538,748.9536720751495
seale,281.19812126387706,192.63428693424424
palsy,330.37019641332193,332.3415883859949
moult,443.59180187873613,445.568317677199
fifes,376.0196413321947,370.5807002561913
roads,159.19235695986336,161.1889410760034
torso,523.5450469684031,449.1895815542272
achan,1119.5350128095645,744.0239111870196
dewed,1754.3723313407345,1162.6774124679762
fifty,1123.3204526046115,1105.3439368061486
scold,299.61101622544834,301.5853970964987
parch,390.1026900085397,392.08859948761744
rings,282.57408198121266,284.6253202391119
chiun,550.0115286080273,551.9888983774551
reedy,912.1537147736977,580.2382578992314
looms,564.6515798462852,507.08582408198123
magog,744.0552946199829,688.6586251067464
lambs,273.22288642186163,275.1976942783945
rough,524.3281383432964,526.5879590093937
jetur,398.1579846285226,400.30315969257043
spicy,496.051024765158,498.0298889837745
duped,764.3059350982066,698.6569171648164
repel,593.3646456020496,429.9726729291204
hedge,906.1934244235696,643.4395815542272
cough,726.8753202391118,728.8543979504697
busks,1309.072801024765,1040.4846285226301
poesy,337.4150298889838,339.38941076003414
robed,293.33390264730997,295.43274978650726
oshea,176.16609735269,178.14261315115286
peals,159.75384286934244,161.71648163962425
rogue,305.1231853116994,307.24252775405637
brood,995.8906917164817,828.2047395388557
ezbon,607.2017506404782,609.1823228010247
needs,551.1466695132366,341.6266011955594
bress,474.54141759180186,381.6163535439795
hurts,306.86165670367205,308.8904782237404
aphik,506.1961998292058,508.17719897523483
medoc,376.19534585824084,378.1737830913749
lakes,156.88279248505552,158.8531169940222
sinke,223.88300597779676,225.8531169940222
hough,1179.3772416737831,1063.5982066609736
soggy,809.0078992314261,757.7467976088813
floor,908.0608454312553,746.6915029888984
stare,116.68595217762596,118.67186165670367
seeks,1326.3733988044407,717.465414175918
color,651.9573014517506,587.9852690008539
asiel,133.95217762596073,135.92186165670367
blunt,518.511315115286,520.4880444064902
naomi,284.7978223740393,286.77625960717336
easie,328.0930828351836,195.40136635354398
heads,153.53906917164815,155.50811272416738
eagle,600.4677625960717,355.3016652433817
violl,993.1419726729291,815.3785226302306
esrom,248.01793339026474,250.08881298035865
vinci,1522.1112297181896,1258.3492741246798
stubb,909.7371904355252,801.5136635354398
gamin,412.85183603757474,414.82536293766015
addar,1690.5399231426131,918.046754910333
dolls,565.0066182749787,457.83859948761744
misty,451.448975234842,453.4244235695986
blink,609.7117847993168,611.6900085397097
tokio,934.5774978650726,781.7598206660973
brisk,384.91545687446626,386.9184457728437
nasty,279.9543125533732,281.92741246797607
douse,217.68531169940223,219.65713065755764
soyle,193.21007685738684,195.18146883005977
cauls,234.2290777113578,236.19769427839452
truer,569.3215200683177,449.01750640478224
zidon,599.7378309137489,601.7173356105892
thank,428.64944491887275,430.62425277540564
pards,204.27946199829205,206.26665243381726
gowne,436.1419726729291,438.1174210076857
pecks,385.55593509820665,387.532877882152
dowry,637.5708795900939,639.870196413322
kneph,538.3460717335611,540.3279248505551
green,705.8309137489325,473.78479931682324
shoes,324.3923996584116,293.23292058070024
gyant,484.08368915456873,486.06063193851406
cleft,445.8633646456021,447.8403074295474
swift,513.8821520068318,515.8599487617421
ailed,177.32707087959008,179.2937660119556
hoped,330.6195559350982,332.5939368061486
calfe,267.3044406490179,269.27711357813837
mossy,1316.9553800170795,826.0764304013663
kitty,1347.5900939368062,1139.5215627668658
fours,344.26494449188726,346.31917164816394
pound,550.4598633646456,552.4380871050384
worse,208.01216908625108,209.98569598633645
sowre,193.44726729291204,195.47608881298035
bores,166.38257899231425,168.39069171648163
moony,1105.9002988898378,1022.3847139197268
hypos,472.24637062339883,474.22502134927413
floud,594.2045260461144,596.1827497865073
syren,181.5132365499573,183.52583262169085
tubal,391.39154568744664,393.3663535439795
sabre,127.92698548249359,129.9105465414176
ketos,226.20239111870197,228.17762596071734
manly,394.8403074295474,396.81596925704525
balme,247.9466268146883,249.91631084543127
gutta,1012.8146883005978,859.2694278394534
truce,286.44278394534587,288.4263450042699
topic,473.73185311699405,475.70964987190433
chair,287.61507258753204,289.59777967549104
fools,659.3731853116994,587.6537147736977
mushi,458.4423569598634,460.41887275832624
thine,251.83005977796756,253.7997438087105
aboue,262.4944491887276,264.4722459436379
swung,602.5034158838599,604.4833475661827
ahian,853.2280102476516,527.7696413321947
apale,564.2442356959864,374.44128949615714
share,123.1231853116994,125.10866780529462
cross,586.1539282664389,467.4470538001708
cider,251.41460290350128,253.39410760034158
liken,291.05081127241675,293.02433817250215
hecla,258.64688300597777,260.6191289496157
juicy,965.7815969257045,967.767292912041
pales,143.13941076003417,145.10247651579846
fogge,769.7066609735269,724.4096925704526
boils,247.89987190435525,249.87105038428695
beads,179.90798462852263,181.87745516652433
wharf,517.0236976942784,519.1596925704526
polon,837.128949615713,754.4415029888984
ellis,414.9000853970965,352.0296754910333
admah,1193.8825789923142,789.6895815542272
idyls,354.7856532877882,356.763877028181
anvil,415.3586678052946,417.33262169086254
might,631.930828351836,633.9094790777114
ayres,138.56255337318532,140.54995730145174
doest,219.0269000853971,220.99658411614004
hanun,689.8810845431256,598.9777967549103
mowes,264.75,266.7241673783091
caved,324.06874466268147,326.0456874466268
hacke,321.29803586678054,323.2736976942784
assur,707.802732707088,414.0185738684885
sperm,272.8866353543979,274.8721178479932
bulks,524.6157130657558,526.5926558497011
sedgy,340.66204099060633,342.6404782237404
harod,241.6204099060632,243.66759180187873
lasts,403.1923569598634,324.58198121263877
patty,963.5426985482494,807.5200683176772
tract,610.6893680614859,523.2634500426985
japho,559.4054227156277,561.3889837745517
llama,2126.805508112724,1171.5491033304868
viler,259.7783945345858,261.8558923996584
spare,145.53437233134073,147.5204953031597
ashur,269.99423569598633,272.0525192143467
betty,954.8926131511529,797.6270281810419
hadid,582.3087105038429,518.602049530316
jaala,1341.9180187873612,1125.7796754910332
media,258.9927412467976,260.96456020495305
boord,834.7796754910333,767.088172502135
dosen,202.99935952177626,204.96883005977796
orpah,331.0967122117848,333.2190435525192
index,460.5469684030743,462.52946199829205
ready,235.53757472245942,237.56511528608027
molid,385.9530315969257,387.9269854824936
fegee,1178.8134073441504,1060.5183603757473
ascii,683.0034158838599,514.7623825789923
saile,99.58198121263877,101.54397950469684
flowt,652.4558070025619,654.435098206661
cones,185.53992314261316,187.5076857386849
goney,388.57045260461143,390.5465414175918
aunts,230.899658411614,232.86891545687448
jubal,646.5542271562767,648.535439795047
pined,322.6086678052946,324.5815542271563
licks,397.1086678052946,399.08411614005126
sized,277.76836037574725,279.7467976088813
impel,346.00298889837745,347.9799316823228
sonne,329.85311699402223,293.24508966695134
burne,292.28159692570455,294.38343296327923
slave,181.42677198975235,183.399658411614
built,484.6419726729291,486.61656703672077
tents,377.8753202391119,328.730145175064
elihu,358.784585824082,360.7625960717336
wanes,163.42079419299745,165.38898377455166
ended,1693.567463706234,950.9214346712212
frith,462.2002561912895,464.4310418445773
ninth,941.9912467976089,788.5431255337319
