words,stepsNeeded
abaca,4
aback,3
abaft,3
abase,4
abash,4
abate,4
abbey,4
abbot,4
abeam,4
abele,4
abhor,4
abide,4
abler,3
abode,3
abort,4
about,4
above,4
abuna,3
abura,3
abuse,3
abuzz,4
abysm,4
abyss,3
acara,3
acari,3
acerb,4
achar,3
acorn,2
acrid,3
actin,3
actor,3
acute,3
adage,4
adapt,4
addax,3
added,4
adder,5
addle,5
adept,3
adieu,2
adman,4
admit,3
admix,4
adobe,4
adopt,6
adore,3
adorn,3
adult,4
adust,3
adyta,4
aegis,2
aerie,3
afara,4
affix,4
afire,2
afoot,6
afore,4
afoul,4
after,3
again,3
agama,4
agape,3
agate,4
agave,3
agent,3
agile,3
aging,4
agist,2
aglet,3
agley,4
aglow,4
agony,3
agora,4
agree,3
ahead,3
aides,3
airer,2
aisle,2
aitch,3
ajuga,4
alack,3
alarm,4
alate,4
album,4
alder,3
aldol,4
aleph,3
alert,2
algae,3
algal,3
alias,2
alibi,3
alien,3
align,2
alike,4
aline,2
alive,4
alkyd,3
alkyl,4
allay,4
alley,3
allot,3
allow,5
alloy,5
allyl,4
aloft,4
alone,4
along,4
aloof,4
aloud,5
alpha,3
altar,3
alter,3
alula,3
alway,4
amass,3
amaze,5
amber,5
ambit,4
amble,5
ambos,4
ambry,4
amend,3
ament,5
amice,4
amide,4
amigo,3
amine,4
amino,3
amiss,4
amity,3
amnia,3
amole,5
among,4
amour,3
ample,3
amply,3
ampul,4
amuse,4
ancon,4
anele,3
anent,5
angel,3
anger,3
angle,5
angry,3
angst,4
anima,4
anime,3
anion,4
anise,2
ankle,5
ankus,3
annal,4
annex,4
annoy,4
annul,5
anode,4
anole,5
anomy,4
antes,3
antic,4
antra,4
anvil,3
aorta,4
apace,4
apart,6
apery,4
aphid,4
aphis,3
apian,4
aping,4
apish,4
apnea,3
apple,4
apply,4
apron,4
apsis,4
aptly,4
arbor,3
archy,3
ardor,5
areca,3
arena,4
arent,3
arete,3
argil,3
argol,5
argon,4
argot,5
argue,3
argus,3
arhat,4
ariel,2
arise,2
armed,4
armor,5
aroid,3
aroma,4
arose,3
arrah,4
arras,4
array,5
arris,3
arrow,4
arses,3
arsis,3
arson,4
artel,3
asana,3
ascii,4
ascon,3
ascot,3
ascus,3
ashen,3
ashes,3
ashet,4
aside,2
askew,4
aspen,4
aspic,4
assai,3
assay,4
asset,4
aster,3
astir,3
aswim,5
ataxy,4
atilt,3
atlas,4
atman,4
atoll,3
atomy,4
atone,3
atria,3
attar,4
attic,4
audio,5
audit,4
auger,4
aught,4
augur,4
aurae,4
aural,4
aurar,4
auric,4
auxin,4
avail,3
avast,4
avens,4
avert,3
avian,4
avoid,5
await,3
awake,5
award,6
aware,4
awash,4
awful,4
awing,4
awoke,4
axial,4
axiom,4
axion,4
axman,4
azide,4
azine,4
azoic,5
azure,4
babby,4
babel,4
babul,4
bacon,4
badge,3
badly,3
bafta,4
bagel,3
baggy,4
bairn,4
baize,3
bajra,3
baked,6
baker,4
baldy,4
baler,6
balky,5
bally,4
balmy,5
balsa,3
balti,3
balut,5
banal,4
banco,4
bandy,4
banjo,4
banns,3
bardo,4
bardy,4
barer,6
barge,4
barmy,2
baron,4
barry,4
basal,3
based,3
bases,5
basic,4
basil,4
basin,3
basis,4
basso,4
baste,2
batch,4
bated,5
bathe,4
batik,4
baton,4
batty,3
bayed,5
bayou,4
bazoo,4
beach,4
beady,4
beaky,5
beamy,5
beano,4
beard,4
beast,2
beaux,5
bebop,4
bedad,4
bedel,5
bedew,4
bedim,3
beech,3
beefy,4
beery,4
befit,4
befog,5
begad,5
begat,3
beget,3
begin,3
begob,4
begum,4
begun,4
beige,4
being,4
belay,3
belch,3
belie,4
belle,3
belly,3
below,4
bemba,5
bench,4
bendy,3
benne,3
benny,4
beret,3
berry,3
berth,4
beryl,4
beset,3
besom,3
betel,3
bevel,3
bezel,5
bhang,4
bhava,3
bible,5
biddy,4
bidet,3
bifid,4
bigha,4
bight,4
bigot,5
bijou,4
bilbo,4
bilby,4
bilge,4
billy,5
binge,4
bingo,3
biome,4
biota,5
biped,4
bipod,3
birch,3
birth,3
bison,4
bitch,3
biter,4
bitty,5
black,3
blade,4
blain,3
blame,4
blanc,3
bland,4
blank,4
blare,5
blase,4
blast,4
blaze,4
bleak,4
blear,4
bleat,3
bleed,4
blend,4
blent,4
bless,3
blest,4
blimp,3
blind,4
blink,4
bliss,3
blitz,3
bloat,5
block,4
bloke,3
blood,3
bloom,5
bloop,5
blown,3
blowy,3
bluer,3
blues,3
bluet,4
bluey,4
bluff,3
blunt,3
blurb,4
blurt,5
blush,4
board,3
boast,3
bobby,4
bocce,4
boche,4
bodge,4
bodhi,3
bogan,5
bogey,4
boggy,4
bogie,3
bogle,3
bogus,4
bohea,4
bolar,5
boldo,3
bolus,3
bonce,4
boned,5
boner,5
bongo,3
bonny,3
bonus,3
bonze,4
booby,5
boomy,5
boost,3
booth,3
boots,3
booty,3
booze,4
boozy,5
borax,4
borer,-1
boric,4
borne,3
boron,4
bosky,3
bosom,4
bossy,3
bosun,4
botch,4
bothy,4
bough,4
boule,2
bound,4
bourn,3
bovid,4
bowed,5
bowel,5
bower,5
bowie,3
bowls,4
boxer,-1
boxty,4
boyar,5
brace,4
brack,4
bract,3
braid,4
brail,4
brain,4
brake,4
brand,5
brant,5
brash,3
brass,2
brave,6
bravo,4
brawl,4
brawn,3
braxy,5
braze,6
bread,3
break,5
bream,5
breed,5
breve,4
briar,4
bribe,4
brick,4
bride,4
brief,4
brier,4
brill,3
brine,5
bring,4
brink,4
briny,4
brisk,2
broad,3
broch,3
brock,4
broil,3
broke,4
brome,5
bronc,4
brood,4
brook,4
broom,4
brose,4
broth,4
brown,4
bruin,4
bruit,3
brume,3
brunt,4
brush,4
brute,4
bubal,4
buchu,3
bucko,4
buddy,3
budge,3
buggy,5
bugle,3
build,3
built,3
bulge,3
bulgy,3
bulky,4
bulla,3
bully,3
bumpy,5
bunce,5
bunch,3
bundu,4
bunko,3
bunny,3
bunya,3
buret,3
burgh,4
burin,4
burka,5
burke,4
burly,4
burnt,3
burro,4
bursa,3
burse,4
burst,4
busby,4
bushy,3
butch,4
buteo,4
butte,5
butty,5
butyl,3
buxom,4
buyer,4
buzzy,5
bylaw,3
byway,4
cabal,4
cabby,4
caber,4
cabin,4
cable,4
cacao,4
cache,4
cacti,4
caddy,5
cadet,4
cadge,3
cadre,3
caeca,3
caged,3
cagey,3
cahow,4
cairn,4
cajun,5
calix,4
calla,4
calve,3
calyx,4
camel,5
cameo,4
campo,4
canal,4
candy,4
canid,3
canna,3
canny,4
canoe,3
canon,4
canto,3
caped,4
caper,4
capes,4
capon,4
capot,3
carat,3
carbo,3
carer,5
caret,3
carex,3
cargo,5
carls,3
carob,4
carol,5
carom,3
carry,4
carse,3
carte,4
carve,4
cased,4
caste,4
catch,4
cater,4
catty,5
cause,3
cavil,3
cease,2
cebid,5
cedar,3
ceiba,3
cella,4
cello,3
cense,3
cento,3
ceorl,3
cerci,3
chack,3
chafe,4
chaff,4
chain,3
chair,3
chalk,3
champ,4
chant,4
chaos,3
chape,4
chaps,4
chard,5
charm,5
charr,5
chart,3
chary,5
chase,3
chasm,3
chawl,4
cheap,3
cheat,3
check,4
cheek,3
cheep,4
cheer,5
chela,4
chert,3
chess,4
chest,4
chevy,5
chewy,5
chick,3
chide,4
chief,3
child,3
chile,3
chili,5
chill,5
chime,4
china,3
chine,3
ching,4
chink,4
chino,4
chips,3
chirm,3
chiro,5
chirp,3
chirr,5
chive,4
chock,4
choil,3
choir,3
choke,4
choky,3
choli,3
cholo,3
chomp,4
chord,3
chore,3
chose,3
chowk,3
chuck,5
chufa,4
chuff,5
chump,3
chunk,4
churl,3
churn,3
churr,4
chute,4
chyle,3
chyme,4
cider,4
cigar,3
cilia,3
cinch,3
circa,4
cirri,3
cisco,4
civet,4
civic,4
civil,3
civvy,4
clack,5
claim,5
clamp,4
clang,4
clank,4
clart,4
clary,4
clash,4
clasp,4
class,4
clave,4
clean,4
clear,4
cleat,4
cleft,4
clerk,4
click,4
cliff,4
climb,4
clime,3
cline,2
cling,4
clink,4
clint,2
clips,4
cloak,3
clock,5
clomb,4
clone,4
close,4
cloth,5
cloud,3
clout,4
clove,3
clown,3
cluck,4
clump,3
clung,3
clunk,4
coach,4
coast,5
coati,4
cobby,4
cobia,3
coble,4
cobra,3
cocci,3
cocky,5
cocoa,4
cocos,4
coder,5
codex,4
codon,5
cogon,5
cohen,3
coign,3
colic,4
colon,3
color,3
colza,3
comer,5
comes,4
comet,3
comfy,5
comic,4
comma,4
compo,4
conch,4
coned,3
cones,3
conga,4
conic,4
conus,4
cooee,4
coomb,4
copal,5
coper,-1
copra,4
copse,4
coral,3
cored,3
corgi,3
corky,3
cornu,3
corny,4
corps,3
corse,2
coset,3
costa,3
cotch,4
cotta,5
couch,5
cough,5
could,3
count,4
coupe,4
court,4
couth,3
coved,4
cover,-1
covet,4
covey,4
covid,3
covin,3
cower,5
coyly,4
coypu,3
cozen,4
crack,5
craft,4
crake,4
cramp,4
crane,4
crank,3
crape,6
craps,3
crash,4
crass,4
crate,4
crave,4
crawl,6
craze,6
crazy,6
creak,5
cream,5
credo,4
creed,3
creek,5
creel,5
creep,5
crepe,3
crept,4
cress,3
crest,2
cribo,4
crick,5
cried,3
crier,4
crime,4
crimp,3
crisp,4
croak,3
croci,3
crock,4
croft,4
crone,4
cronk,4
crony,4
crook,3
croon,2
crore,4
cross,3
croup,4
crowd,4
crown,3
croze,6
cruck,4
crude,5
cruel,3
cruet,3
crumb,3
crump,4
crunk,3
cruor,3
cruse,3
crush,3
crust,2
crypt,4
cubby,3
cubeb,4
cubic,3
cubit,3
cuddy,5
cueca,4
culex,4
cully,3
culpa,3
cumin,3
cupel,4
cuppy,4
curie,2
curio,2
curly,4
curry,4
curse,3
curst,3
curve,6
curvy,4
cusec,4
cushy,5
cutch,4
cutie,3
cutin,3
cutis,3
cutty,5
cutup,4
cycad,4
cycle,4
cynic,3
daddy,5
daffy,4
dagga,4
daggy,4
daily,3
dairy,2
daisy,3
dally,4
dance,5
danda,5
dandy,5
danio,4
dares,4
darky,4
darts,3
dater,4
datum,5
daube,3
daunt,4
daven,3
davit,3
dazed,5
dealt,3
death,3
debar,4
debby,4
debit,4
debus,3
debut,4
decad,3
decal,4
decan,5
decay,5
decoy,5
decry,5
decyl,4
deedy,5
defat,4
defer,4
degas,3
deify,3
deign,3
deink,4
deism,2
deity,3
dekko,4
delay,4
delft,4
delta,4
delve,3
demit,4
demob,3
demon,4
demos,4
denim,3
denis,3
dense,5
depot,3
depth,4
derby,5
derma,4
desex,3
deter,4
deuce,4
devil,3
devon,5
dewan,5
dewax,5
dhobi,4
dhole,3
dhoni,3
dhoti,4
diary,3
dicky,3
dicot,3
dicta,5
diddy,5
didst,3
diene,4
dight,6
digit,3
dildo,4
dilly,4
dimer,6
dimly,3
dimps,4
dinar,3
diner,6
dingo,5
dingy,4
dinky,3
diode,5
dirge,3
dirty,4
ditch,5
ditto,4
ditty,5
divan,4
diver,4
divot,4
divvy,5
dixie,4
dizzy,5
dobby,4
dobra,4
dodge,4
dodgy,4
doest,3
doggo,4
doggy,5
dogie,4
dogma,3
doily,4
doing,3
dolly,4
dolor,3
domal,4
donee,5
donga,4
donna,4
donor,3
dooms,3
dopey,4
dormy,4
doted,4
dotty,5
doubt,4
douce,4
dough,5
douse,4
dowdy,5
dowel,3
dower,5
downy,3
dowry,3
dowse,5
dozed,5
dozen,4
dozer,5
draff,4
draft,5
drail,2
drain,3
drake,4
drama,5
drank,3
drape,5
drawl,5
drawn,5
dread,5
dream,5
drear,5
dregs,3
dress,4
dried,5
drier,4
drift,4
drill,5
drink,4
drive,4
droll,5
drome,4
drone,4
drool,4
droop,4
dross,4
drove,5
drown,4
druid,4
drunk,4
drupe,4
druse,3
drusy,4
dryad,4
dryas,4
dryly,4
ducal,5
ducat,3
duces,4
duchy,4
dulia,3
dully,5
dulse,3
dummy,4
dumpy,4
dunce,4
dunny,5
duper,4
duple,3
duppy,5
duroc,3
durra,4
durry,4
durst,4
dusky,5
dusty,3
dutch,4
duvet,4
dwale,3
dwarf,4
dwell,4
dwelt,4
dying,4
eager,6
eagle,3
eagre,3
early,3
earth,3
easel,3
eaten,4
eater,6
eaves,4
ebony,4
eclat,4
edema,4
edged,4
edict,3
edify,4
educe,4
eerie,4
egest,3
egger,6
egret,4
eider,5
eight,3
eject,4
eking,3
eland,4
elate,4
elbow,3
elder,6
elect,4
elegy,4
elemi,4
elfin,3
elide,4
elite,4
elope,5
elude,5
elute,5
elvan,4
elver,4
elves,3
embay,4
embed,4
ember,4
embus,4
emcee,4
emend,3
emery,4
emmer,5
emmet,4
emote,4
empty,4
enact,4
ended,4
endow,4
endue,3
enema,4
enemy,4
enjoy,3
ennui,4
enrol,4
ensue,3
enter,4
entry,3
enure,3
envoy,4
eosin,4
epact,4
ephah,4
ephod,3
ephor,3
epoch,4
epode,4
equal,3
equid,4
equip,4
erase,3
erect,4
ergot,3
erica,3
erode,4
error,4
eruct,3
erupt,4
esker,4
essay,3
ester,4
estop,4
ether,3
ethic,4
ethos,3
ethyl,3
ettle,4
etude,3
evade,4
evens,3
event,3
evert,5
evict,4
evoke,4
exact,4
exalt,4
excel,4
exeat,4
exert,5
exile,5
exist,3
expel,5
extol,3
extra,3
exude,4
exult,4
eying,4
eyrie,4
eyrir,3
fable,4
faced,5
facer,4
facet,4
facia,4
faddy,5
faded,4
fader,5
fadge,4
faery,4
fagot,4
faint,2
fairy,4
faith,3
faker,6
fakir,3
false,3
fanal,5
fancy,4
fanny,4
farad,4
farce,4
farcy,5
farse,3
fatal,5
fated,6
fatty,5
faugh,3
fault,4
fauna,4
favor,4
feast,4
fecal,4
feces,3
feign,3
feint,2
felid,3
felly,5
felon,4
femur,3
fence,5
feral,3
feria,3
ferry,5
fetal,4
fetch,4
fetid,3
fetor,3
fetus,3
feued,4
fever,3
fiber,6
fiche,5
fichu,4
ficus,4
field,4
fiend,3
fiery,3
fifth,4
fifty,4
figgy,4
fight,6
filch,4
filet,3
filly,5
filmy,5
filth,5
final,3
finch,5
finer,4
finis,4
finny,5
fiord,4
fired,3
first,2
firth,5
fishy,4
fitch,5
fiver,4
fives,4
fixed,4
fixer,6
fizzy,5
flack,5
flail,5
flair,4
flake,6
flaky,4
flame,4
flank,5
flare,5
flash,4
flask,4
fleck,4
fleer,5
fleet,3
flesh,3
flews,3
flick,3
flier,2
fling,4
flint,4
flirt,3
float,5
flock,4
flood,4
floor,3
flora,3
flory,3
floss,4
flour,4
flout,4
flown,4
fluey,5
fluff,4
fluid,4
fluke,5
fluky,3
flume,3
flump,5
flung,4
flunk,5
flush,4
flute,5
fluty,4
flyer,5
foamy,4
focal,5
focus,5
foehn,4
fogey,5
foggy,6
fogle,3
fogou,4
foist,4
folia,4
folio,3
folky,3
folly,6
fondu,5
foody,5
foots,4
footy,5
foray,5
forby,4
force,3
fordo,3
forge,5
forgo,4
forme,5
forte,5
forth,4
forty,5
forum,5
fossa,4
fosse,4
found,4
fount,5
fovea,5
foyer,-1
frack,5
fraid,4
frail,4
frame,4
franc,4
frank,5
frass,4
fraud,4
freak,5
freed,5
freer,5
freon,4
fresh,4
friar,4
fried,3
frier,3
frill,5
frisk,3
frith,3
fritz,4
frizz,5
frock,4
frond,3
front,4
frore,4
frosh,5
frost,4
froth,6
frown,4
froze,4
fruit,4
frump,3
fryer,5
fubsy,3
fucus,4
fudge,4
fugal,4
fuggy,4
fugue,4
fully,5
fumet,4
fundi,4
funds,3
fungi,4
fungo,3
funky,4
funny,3
furan,4
furor,4
furry,6
furze,6
fused,4
fusee,4
fusil,3
fussy,3
fusty,5
fuzzy,5
gabby,5
gable,2
gadge,4
gadid,4
gaffe,4
gaily,4
gains,2
galah,4
galea,4
galop,4
gamba,3
gamin,3
gamma,4
gammy,5
gamut,3
ganch,3
ganef,3
ganja,4
gaper,4
gapes,5
garth,4
gassy,4
gated,4
gatha,4
gator,4
gaudy,3
gauge,4
gault,4
gaunt,3
gauss,3
gauze,4
gauzy,4
gavel,4
gawky,5
gayal,3
gecko,3
gelid,4
gelly,5
gemma,5
genet,4
genic,4
genie,3
genii,4
genip,4
genoa,4
genre,4
genua,5
genus,3
geode,4
geoid,5
germy,5
gesso,2
getup,4
ghazi,4
ghost,3
ghoul,4
giant,4
gibus,4
giddy,6
gigot,5
girly,4
girth,5
given,3
giver,5
glade,4
glair,4
gland,5
glans,4
glare,3
glass,4
glaze,6
gleam,4
glean,3
glebe,3
gleet,4
glide,4
glint,4
gloat,5
globe,3
gloom,4
glory,4
gloss,4
glost,3
glove,4
gloze,5
glued,4
gluey,5
glume,5
glyph,3
gnarl,4
gnash,4
gnome,4
goaty,3
gobby,4
godet,5
godly,4
gogga,4
going,4
golem,3
golly,4
gomer,5
gonad,4
goner,-1
goods,4
goody,5
goofy,5
goose,4
goosy,4
goral,5
gorse,4
gouda,4
gouge,4
goura,4
gourd,4
gouty,5
gowan,4
goyim,5
grace,2
grade,4
graft,3
grail,4
grain,4
gramp,5
grand,5
grant,5
grape,4
graph,5
grasp,4
grass,4
grate,4
grave,4
gravy,5
graze,5
great,4
grebe,4
grebo,5
greed,5
greek,5
green,5
greet,4
grief,4
griff,4
grift,4
grike,4
grill,5
grime,4
grimy,5
grind,4
gripe,3
grist,4
grits,3
groan,3
groat,4
groin,4
groom,5
grope,4
gross,3
grosz,4
group,4
grout,4
grove,6
growl,4
grown,4
grubs,3
gruel,4
gruff,4
grume,4
grump,5
grunt,3
guano,3
guard,4
guava,4
guess,3
guest,3
guide,3
guido,4
guild,4
guile,3
guilt,5
guise,3
gular,4
gulch,4
gules,4
gully,5
gumbo,3
gumma,4
gummy,4
gundi,6
gunge,4
gunny,5
guppy,4
gurry,6
gushy,5
gusto,3
gusty,5
gutty,4
gyppo,3
gypsy,4
gyral,5
gyron,3
gyrus,4
habit,5
hacky,6
hades,4
hadji,4
hafiz,5
hairy,4
hakim,4
halal,4
haler,4
halma,3
halve,5
hamel,5
hammy,5
hamza,4
handy,4
hanky,4
hanse,3
haole,4
haoma,4
haply,5
happy,5
hardy,4
harem,5
harpy,4
harry,4
harsh,2
haste,4
hasty,4
hatch,6
hater,4
hatti,3
haugh,5
haulm,4
haunt,4
haven,4
haver,4
havoc,4
hawse,3
hazel,5
hazer,5
heady,3
heald,4
heaps,4
heart,4
heath,5
heave,5
heavy,4
heder,5
hedge,4
hefty,3
heiau,3
heigh,3
helio,3
helix,4
hello,3
helly,3
helot,2
helve,4
hemal,4
hence,5
henna,4
henry,5
herby,5
heron,4
hertz,5
heugh,3
hevea,5
hewer,5
hexad,5
hexyl,3
hight,6
hiker,6
hilly,5
hilsa,2
hilum,4
hilus,3
hinge,4
hinny,5
hippo,4
hippy,5
hired,5
hitch,-1
hithe,3
hives,4
hoard,4
hoary,4
hobby,5
hocus,5
hogan,5
hoick,3
hoist,3
hokey,3
hokum,4
holla,3
holly,4
homer,5
homey,5
honey,5
honor,4
hooch,4
hooey,5
hoofs,4
hooky,5
hoped,4
horal,5
horde,4
horny,3
horse,4
horst,3
horsy,3
hosed,4
hosel,4
hosta,3
hotch,5
hotel,3
hotly,4
hough,5
hound,4
houri,3
house,4
hovel,3
hover,-1
howdy,5
howff,4
hubby,5
huffy,5
human,4
humic,4
humid,4
humor,4
humph,4
humpy,6
humus,4
hunch,3
hundi,6
hunks,4
hunky,5
hurry,4
hurst,4
hurty,4
husky,4
hussy,3
hutch,5
hutia,4
huzza,5
hydra,4
hydro,4
hyena,4
hying,5
hylic,4
hymen,3
hyoid,3
hyper,4
hypha,4
hyrax,5
hyson,3
iambi,3
ichor,3
icing,3
ictus,3
ideal,2
idiom,4
idiot,3
idler,3
igloo,4
ileum,5
ileus,3
iliac,3
ilium,4
image,2
imago,4
imbed,3
imbue,4
imide,5
imine,4
impel,3
imply,4
inane,3
inapt,4
incog,3
incur,3
incus,3
index,3
indri,3
indue,3
inept,4
inert,3
infer,3
infix,4
infra,4
ingle,3
ingot,3
inion,3
injun,4
inkle,4
inlay,4
inlet,3
inner,4
input,3
inset,3
inter,3
inure,3
inurn,3
invar,4
ionic,4
irade,2
irate,3
iroko,3
irony,3
islet,3
issei,4
issue,3
istle,4
itchy,4
ivied,3
ivory,4
izard,3
jabot,4
jacal,5
jacky,6
jaded,4
jaggy,4
jalap,4
jammy,-1
japan,4
jatha,5
jaunt,6
jawed,5
jazzy,6
jeans,3
jelly,6
jemmy,5
jenny,5
jerky,5
jerry,5
jetty,5
jewel,5
jheel,4
jiffy,5
jiggy,6
jihad,4
jimmy,4
jingo,5
jinks,4
jinni,4
jirga,4
joint,4
joist,4
joker,5
jolly,6
jones,5
jorum,5
joule,3
joust,3
jowar,5
judas,4
judge,6
jugal,5
jugum,4
juice,3
juicy,4
julep,4
jumbo,4
jumpy,6
junco,5
junta,5
junto,5
jural,4
jurat,4
juror,5
kafir,3
kanat,4
kanga,4
kanji,3
kapai,3
kapok,5
kappa,4
kaput,4
karma,3
karri,2
karst,3
kasha,4
kauri,3
kayak,4
kazoo,5
kebab,4
kedge,6
keech,4
keeve,4
kefir,4
kempt,4
kenaf,5
ketch,6
kevel,5
keyed,4
khadi,3
khaki,4
khula,3
kiang,4
kiddy,6
kilim,4
kinky,5
kiosk,3
kissy,2
kitty,5
knack,3
knave,5
knead,4
kneed,4
kneel,4
knell,4
knelt,5
knife,3
knock,4
knoll,3
knout,4
known,5
knurl,4
koala,2
kodak,3
kohen,4
koine,4
kombu,4
kongo,4
kraal,5
kraft,5
krait,4
kraut,4
krona,3
krone,4
kroon,3
kudos,4
kudzu,4
kugel,3
kukri,3
kulak,3
kurus,4
kvass,4
kylix,4
kyrie,4
label,4
labia,4
labor,3
labra,4
laced,3
laden,2
ladle,4
lagan,3
lager,4
laird,3
lairy,4
laity,3
laker,4
lamia,3
lance,4
lanky,4
lapel,4
lappa,4
lapse,3
larch,4
large,4
largo,4
larva,4
laser,3
lasso,4
latch,6
later,4
latex,4
lathe,4
laugh,5
laver,6
layer,6
lazar,4
leach,4
leads,3
leafy,3
leaky,4
leant,4
leapt,4
learn,3
lease,4
leash,3
least,4
leave,4
ledge,4
leech,3
leery,5
legal,5
leggy,4
legit,3
leman,4
lemma,4
lemon,3
lemur,4
lenis,4
lento,3
leper,5
letch,3
letup,4
levee,4
level,5
lever,5
levin,3
lewis,4
liana,2
liard,3
libel,4
libra,3
licit,4
liege,4
lifer,4
light,6
liken,4
lilac,3
limbo,4
limen,4
limes,2
limey,4
limit,5
lined,2
linen,3
liner,4
linga,3
lingo,5
links,3
linky,5
linos,4
lippy,5
lisle,3
litas,3
liter,3
lithe,5
litho,5
lived,3
liven,4
liver,4
livid,3
llama,4
llano,3
loach,3
loamy,4
loath,4
lobar,4
lobby,3
local,5
locum,3
locus,4
lodge,3
loess,3
lofty,4
logia,3
logic,4
login,3
logos,4
lolly,-1
longa,4
longe,4
longs,4
loony,3
loopy,4
loose,4
loppy,5
lordy,4
loris,3
lorry,4
losel,5
loser,3
lotic,3
lotto,4
lotus,4
lough,4
louis,3
loupe,3
louse,4
lousy,3
lover,5
lower,5
lowly,4
loyal,5
lubra,4
lucid,4
lucky,4
lucre,4
luffa,4
luger,4
lumen,4
lumpy,4
lunar,4
lunch,4
lunes,4
lunge,3
lungi,5
lupus,4
lurch,3
lurid,4
lusty,5
lying,3
lymph,4
lynch,3
lyric,3
lysin,3
lysis,4
lytic,3
macaw,4
macer,5
macle,4
macro,4
madam,5
madly,4
mafic,4
magic,4
magma,4
mahoe,4
mahua,4
mains,3
maize,3
major,3
maker,6
malar,4
maleo,4
malik,4
malty,4
mamba,4
mambo,5
mamma,4
mammy,-1
manes,4
manga,4
mange,4
mango,4
mangy,3
mania,4
manic,4
manly,4
manna,4
manny,6
manor,4
manse,3
manta,4
manul,5
manus,4
maple,4
marae,3
march,4
mardy,4
marge,2
maria,3
marry,4
marsh,3
mason,4
massa,3
massy,2
matai,3
match,6
mater,6
matey,4
matin,2
matte,4
matzo,4
maund,4
mauri,3
mauve,5
mavis,4
maxim,4
maybe,4
mayor,3
mazed,6
mazer,6
mealy,4
meant,4
meaty,4
mecon,4
medal,4
media,3
medic,4
melas,3
melee,4
melic,5
melon,4
mends,4
merch,4
mercy,5
merge,3
merit,4
merle,4
merry,5
mesic,3
mesne,4
meson,3
messy,3
metal,4
meter,4
metic,4
metis,3
metol,3
mezzo,4
miaow,3
miasm,3
miaul,3
micro,3
middy,4
midge,4
midst,4
miffy,4
might,-1
milch,5
miler,4
miles,3
milky,5
mimeo,4
mimic,5
mince,4
miner,5
mines,3
minge,4
mingy,5
minim,3
minor,4
minus,5
mirid,3
mirth,5
miser,2
missy,4
misty,3
mitch,5
miter,4
mitre,3
mixed,4
mixer,6
mocha,4
modal,5
model,5
moggy,5
mogul,4
mohel,3
moire,3
moist,4
molal,5
molar,3
moldy,4
molly,6
mommy,5
monad,4
monal,3
money,4
mongo,4
monte,5
month,3
mooch,6
moody,3
moony,4
moors,3
moose,4
moral,4
moran,3
moray,4
morel,4
mores,3
moron,4
morph,5
morse,4
mosey,4
mossy,4
motel,3
motet,4
mothy,5
motif,3
motor,5
motte,5
motto,4
mould,5
mound,4
mount,4
mourn,5
mouse,4
mousy,4
mouth,4
mover,4
movie,4
mower,3
mucid,4
mucin,4
mucky,4
mucro,3
mucus,3
muddy,6
mudra,3
mufti,4
muggy,4
mulch,4
mulct,5
muley,4
mulga,5
mulla,4
mummy,6
mumps,4
munch,5
munge,5
mungo,4
munia,3
mural,5
murex,3
murid,4
murky,4
murre,4
mused,3
mushy,5
music,3
musky,5
musty,5
mutch,4
muzzy,6
myall,3
myope,4
myrrh,3
mysid,3
nabob,5
nacre,4
nadir,3
naiad,3
naive,3
naked,4
naker,6
namaz,4
nance,5
nancy,5
nanny,6
napoo,4
nappe,4
nappy,3
nares,4
narky,5
nasal,4
nasty,4
natal,4
natch,3
nates,3
natty,3
naval,4
navel,4
navvy,4
nawab,5
neath,5
nebby,4
neddy,5
needs,3
needy,5
negro,4
negus,4
neigh,4
nelly,5
neper,5
nerve,4
nervy,5
netty,3
neume,4
never,5
nevus,5
newel,5
newly,5
newsy,3
nexus,5
ngaio,4
niche,3
nidus,5
niece,4
