words,stepsNeeded
abaca,4
aback,4
abaft,4
abase,-1
abash,4
abate,-1
abbey,4
abbot,3
abeam,-1
abele,5
abhor,5
abide,4
abler,3
abode,3
abort,4
about,5
above,5
abuna,4
abura,3
abuse,3
abuzz,4
abysm,4
abyss,3
acara,-1
acari,3
acerb,4
achar,3
acorn,2
acrid,3
actin,3
actor,4
acute,3
adage,5
adapt,4
addax,4
added,4
adder,5
addle,5
adept,3
adieu,2
adman,3
admit,3
admix,5
adobe,5
adopt,3
adore,3
adorn,4
adult,4
adust,3
adyta,4
aegis,2
aerie,3
afara,-1
affix,4
afire,3
afoot,5
afore,5
afoul,3
after,3
again,3
agama,5
agape,3
agate,4
agave,3
agent,3
agile,4
aging,4
agist,2
aglet,3
agley,5
aglow,5
agony,3
agora,4
agree,3
ahead,3
aides,4
airer,2
aisle,2
aitch,3
ajuga,4
alack,4
alarm,4
alate,4
album,3
alder,4
aldol,4
aleph,3
alert,2
algae,3
algal,4
alias,2
alibi,4
alien,4
align,2
alike,4
aline,2
alive,4
alkyd,5
alkyl,3
allay,3
alley,3
allot,3
allow,5
alloy,5
allyl,5
aloft,5
alone,5
along,3
aloof,5
aloud,4
alpha,4
altar,3
alter,4
alula,4
alway,5
amass,3
amaze,5
amber,5
ambit,5
amble,5
ambos,4
ambry,4
amend,3
ament,5
amice,4
amide,4
amigo,4
amine,4
amino,3
amiss,4
amity,3
amnia,3
amole,5
among,5
amour,3
ample,3
amply,3
ampul,3
amuse,5
ancon,4
anele,3
anent,5
angel,3
anger,3
angle,5
angry,3
angst,5
anima,5
anime,4
anion,4
anise,3
ankle,5
ankus,3
annal,3
annex,4
annoy,5
annul,3
anode,5
anole,5
anomy,5
antes,3
antic,5
antra,5
anvil,3
aorta,4
apace,-1
apart,-1
apery,4
aphid,4
aphis,3
apian,4
aping,4
apish,5
apnea,3
apple,5
apply,5
apron,4
apsis,5
aptly,5
arbor,3
archy,3
ardor,5
areca,3
arena,5
arent,4
arete,3
argil,4
argol,5
argon,4
argot,5
argue,4
argus,3
arhat,5
ariel,2
arise,3
armed,4
armor,5
aroid,4
aroma,5
arose,3
arrah,4
arras,5
array,6
arris,4
arrow,5
arses,3
arsis,3
arson,4
artel,4
asana,3
ascii,4
ascon,3
ascot,3
ascus,3
ashen,3
ashes,3
ashet,5
aside,3
askew,5
aspen,5
aspic,5
assai,3
assay,4
asset,5
aster,3
astir,4
aswim,6
ataxy,4
atilt,3
atlas,4
atman,5
atoll,5
atomy,4
atone,3
atria,3
attar,5
attic,4
audio,5
audit,5
auger,5
aught,4
augur,4
aurae,4
aural,5
aurar,5
auric,5
auxin,5
avail,3
avast,5
avens,5
avert,4
avian,4
avoid,6
await,3
awake,5
award,6
aware,5
awash,4
awful,4
awing,4
awoke,5
axial,4
axiom,4
axion,4
axman,5
azide,4
azine,4
azoic,5
azure,5
babby,5
babel,5
babul,4
bacon,4
badge,4
badly,3
bafta,4
bagel,3
baggy,4
bairn,4
baize,3
bajra,3
baked,-1
baker,4
baldy,5
baler,6
balky,5
bally,5
balmy,5
balsa,3
balti,3
balut,6
banal,4
banco,4
bandy,4
banjo,4
banns,3
bardo,4
bardy,4
barer,6
barge,4
barmy,2
baron,4
barry,4
basal,3
based,3
bases,6
basic,4
basil,4
basin,4
basis,4
basso,4
baste,2
batch,4
bated,5
bathe,4
batik,4
baton,4
batty,3
bayed,5
bayou,4
bazoo,4
beach,4
beady,5
beaky,5
beamy,5
beano,4
beard,5
beast,2
beaux,6
bebop,4
bedad,5
bedel,5
bedew,4
bedim,3
beech,3
beefy,5
beery,5
befit,5
befog,6
begad,5
begat,3
beget,3
begin,3
begob,5
begum,4
begun,4
beige,4
being,4
belay,3
belch,3
belie,5
belle,4
belly,3
below,4
bemba,5
bench,5
bendy,3
benne,3
benny,5
beret,3
berry,3
berth,4
beryl,5
beset,3
besom,3
betel,3
bevel,3
bezel,5
bhang,5
bhava,4
bible,6
biddy,4
bidet,3
bifid,5
bigha,4
bight,4
bigot,5
bijou,5
bilbo,4
bilby,4
bilge,4
billy,5
binge,4
bingo,3
biome,4
biota,5
biped,4
bipod,3
birch,3
birth,3
bison,4
bitch,3
biter,4
bitty,5
black,4
blade,4
blain,3
blame,4
blanc,5
bland,5
blank,5
blare,5
blase,4
blast,4
blaze,4
bleak,5
blear,4
bleat,3
bleed,4
blend,4
blent,5
bless,3
blest,5
blimp,3
blind,4
blink,4
bliss,3
blitz,3
bloat,3
block,5
bloke,4
blood,3
bloom,5
bloop,5
blown,3
blowy,3
bluer,3
blues,3
bluet,5
bluey,4
bluff,3
blunt,3
blurb,3
blurt,4
blush,4
board,3
boast,3
bobby,4
bocce,4
boche,4
bodge,4
bodhi,3
bogan,3
bogey,4
boggy,5
bogie,3
bogle,4
bogus,5
bohea,4
bolar,5
boldo,3
bolus,3
bonce,4
boned,5
boner,5
bongo,3
bonny,4
bonus,3
bonze,4
booby,5
boomy,5
boost,3
booth,3
boots,3
booty,3
booze,4
boozy,5
borax,4
borer,-1
boric,4
borne,4
boron,4
bosky,3
bosom,4
bossy,3
bosun,5
botch,5
bothy,5
bough,5
boule,2
bound,4
bourn,4
bovid,4
bowed,5
bowel,5
bower,5
bowie,3
bowls,5
boxer,-1
boxty,5
boyar,5
brace,4
brack,5
bract,3
braid,4
brail,4
brain,4
brake,4
brand,5
brant,5
brash,4
brass,2
brave,-1
bravo,4
brawl,4
brawn,3
braxy,6
braze,6
bread,3
break,5
bream,5
breed,5
breve,5
briar,4
bribe,4
brick,5
bride,4
brief,4
brier,4
brill,3
brine,6
bring,4
brink,4
briny,4
brisk,2
broad,3
broch,3
brock,5
broil,3
broke,4
brome,6
bronc,5
brood,4
brook,6
broom,4
brose,4
broth,4
brown,5
bruin,5
bruit,3
brume,3
brunt,3
brush,4
brute,5
bubal,3
buchu,3
bucko,4
buddy,3
budge,3
buggy,5
bugle,4
build,3
built,3
bulge,4
bulgy,3
bulky,5
bulla,4
bully,3
bumpy,5
bunce,5
bunch,3
bundu,5
bunko,3
bunny,3
bunya,4
buret,4
burgh,3
burin,4
burka,5
burke,4
burly,5
burnt,3
burro,3
bursa,4
burse,4
burst,4
busby,5
bushy,3
butch,5
buteo,4
butte,5
butty,5
butyl,3
buxom,4
buyer,4
buzzy,5
bylaw,4
byway,4
cabal,4
cabby,4
caber,4
cabin,4
cable,4
cacao,4
cache,5
cacti,5
caddy,5
cadet,4
cadge,3
cadre,3
caeca,3
caged,3
cagey,3
cahow,4
cairn,4
cajun,5
calix,5
calla,5
calve,3
calyx,4
camel,5
cameo,5
campo,4
canal,5
candy,4
canid,3
canna,3
canny,4
canoe,3
canon,5
canto,3
caped,5
caper,4
capes,4
capon,4
capot,3
carat,3
carbo,3
carer,6
caret,4
carex,3
cargo,5
carls,3
carob,5
carol,5
carom,3
carry,4
carse,3
carte,4
carve,4
cased,5
caste,4
catch,4
cater,4
catty,5
cause,3
cavil,3
cease,2
cebid,5
cedar,3
ceiba,3
cella,4
cello,3
cense,3
cento,3
ceorl,3
cerci,3
chack,4
chafe,4
chaff,5
chain,3
chair,3
chalk,4
champ,3
chant,5
chaos,3
chape,5
chaps,5
chard,5
charm,5
charr,5
chart,3
chary,5
chase,4
chasm,3
chawl,4
cheap,3
cheat,3
check,5
cheek,3
cheep,5
cheer,5
chela,4
chert,3
chess,5
chest,4
chevy,5
chewy,5
chick,3
chide,4
chief,3
child,3
chile,4
chili,5
chill,5
chime,4
china,3
chine,4
ching,4
chink,4
chino,4
chips,3
chirm,3
chiro,5
chirp,3
chirr,5
chive,4
chock,5
choil,3
choir,4
choke,4
choky,3
choli,3
cholo,3
chomp,5
chord,3
chore,3
chose,3
chowk,3
chuck,5
chufa,3
chuff,5
chump,3
chunk,4
churl,4
churn,4
churr,4
chute,4
chyle,3
chyme,4
cider,4
cigar,3
cilia,3
cinch,3
circa,5
cirri,3
cisco,5
civet,5
civic,5
civil,3
civvy,4
clack,4
claim,5
clamp,4
clang,5
clank,3
clart,5
clary,5
clash,4
clasp,4
class,4
clave,4
clean,5
clear,4
cleat,5
cleft,5
clerk,4
click,4
cliff,4
climb,4
clime,4
cline,2
cling,4
clink,4
